Week,Town,Mean(R),Quantile.0.025(R),Quantile.0.975(R)
2021-07-19,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-07-26,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-08-02,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-08-09,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-08-16,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-08-23,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-08-30,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-09-06,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-09-13,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-09-20,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-09-27,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-10-04,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-10-11,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-10-18,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-10-25,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-11-01,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-11-08,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-11-15,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-11-22,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-11-29,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-12-06,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-12-13,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-12-20,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2021-12-27,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-01-03,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-01-10,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-01-17,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-01-24,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-01-31,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-02-07,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-02-14,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-02-21,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-02-28,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-03-07,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-03-14,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-03-21,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-03-28,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-04-04,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-04-11,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-04-18,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-04-25,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-05-02,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-05-09,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2022-05-16,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
